D & B Used Cars|111 Old Benbrook Rd Dallas TX 45137|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00 
10112|1993|Ford|Explorer|SUV|Red|525123|995.00 
20487|2010|Toyota|Camry|Sedan|Blue|128765|8999.99 
30923|2018|Honda|Civic|SUV|White|35467|24999.50 
41567|2015|Chevrolet|Silverado|Truck|Black|87654|90510.00 
52134|2008|Nissan|Altima|Sedan|Silver|165432|5999.00 
63245|2019|Jeep|Wrangler|SUV|Gray|18765|35999.00 
74890|2016|Subaru|Outback|Wagon|Green|98765|14900.50 
85672|2023|Hyundai|Santa Fe|SUV|Black|45213|22000.99 
96321|2023|Toyota|Camry|Sedan|Red|213456|80900.00 
10789|2024|Toyoya|Camry|SUV|White|8765|20500.00
